,sa2_name16, sa2_code_2016, median_aud,income_level
0,Prahran - Windsor,206061136,51885.0,3.0
1,Collingwood,206071141,45344.0,3.0
2,Hadfield,210031440,37389.0,1.0
3,Sunbury,210041240,44043.0,2.0
4,Sunbury - South,210041241,43823.0,2.0
5,Fitzroy,206071142,45197.0,2.0
6,Hughesdale,208021180,41925.0,2.0
7,Point Cook - South,213051466,51518.0,3.0
8,Blackburn South,207031162,40423.0,2.0
9,Surrey Hills (East) - Mont Albert,207031167,49139.0,3.0
10,Brighton East,208011170,47872.0,3.0
11,Cheltenham - Highett (West),208011171,44209.0,2.0
12,Hampton,208011172,48477.0,3.0
13,Brunswick,206011105,43008.0,2.0
14,Brunswick East,206011106,46237.0,3.0
15,Pascoe Vale South,206011109,44416.0,2.0
16,Docklands,206041118,49346.0,3.0
17,East Melbourne,206041119,60513.0,3.0
18,Flemington Racecourse,206041120,48740.0,3.0
19,South Yarra - West,206041125,58838.0,3.0
20,Bentleigh East (South),208021427,41669.0,2.0
21,Bentleigh - McKinnon,208021174,44004.0,2.0
22,Aspendale Gardens - Waterways,208031183,44163.0,2.0
23,Murrumbeena,208021181,44201.0,2.0
24,Braeside,208031184,58091.0,3.0
25,Southbank,206041126,49364.0,3.0
26,Chelsea Heights,208031187,42671.0,2.0
27,Carnegie,208021176,42889.0,2.0
28,Coburg,206011108,41503.0,2.0
29,Brunswick West,206011107,44633.0,2.0
30,Alphington - Fairfield,206021110,49096.0,3.0
31,Ormond - Glen Huntly,208021182,41884.0,2.0
32,Northcote,206021111,48587.0,3.0
33,West Melbourne,206041127,,2.0
34,Thornbury,206021112,43430.0,2.0
35,Port Melbourne,206051130,61707.0,3.0
36,Ascot Vale,206031113,48665.0,3.0
37,Essendon - Aberfeldie,206031114,47838.0,3.0
38,Flemington,206031115,43810.0,2.0
39,Moonee Ponds,206031116,51042.0,3.0
40,Carlton,206041117,35226.0,1.0
41,Kensington (Vic.),206041121,53822.0,3.0
42,Melbourne,206041122,35582.0,1.0
43,Armadale,206061135,53487.0,3.0
44,North Melbourne,206041123,42504.0,2.0
45,Parkville,206041124,40794.0,2.0
46,Albert Park,206051128,58131.0,3.0
47,Elwood,206051129,54759.0,3.0
48,Port Melbourne Industrial,206051131,62148.0,3.0
49,South Melbourne,206051132,57665.0,3.0
50,St Kilda,206051133,48382.0,3.0
51,St Kilda East,206051134,47292.0,3.0
52,South Yarra - East,206061137,52061.0,3.0
53,Toorak,206061138,60743.0,3.0
54,Abbotsford,206071139,48172.0,3.0
55,Carlton North - Princes Hill,206071140,46969.0,3.0
56,Fitzroy North,206071143,50488.0,3.0
57,Richmond (Vic.),206071144,53171.0,3.0
58,Yarra - North,206071145,55292.0,3.0
59,Ashburton (Vic.),207011146,47011.0,3.0
60,Balwyn,207011147,43593.0,2.0
61,Camberwell,207011149,50533.0,3.0
62,Balwyn North,207011148,43746.0,2.0
63,Kew,207011153,52114.0,3.0
64,Glen Iris - East,207011150,51299.0,3.0
65,Hawthorn,207011151,50264.0,3.0
66,Hawthorn East,207011152,51109.0,3.0
67,Kew East,207011154,48951.0,3.0
68,Surrey Hills (West) - Canterbury,207011155,52335.0,3.0
69,Bulleen,207021156,39887.0,2.0
70,Doncaster,207021157,37282.0,1.0
71,Templestowe,207021159,42455.0,2.0
72,Templestowe Lower,207021160,39524.0,2.0
73,Doncaster East (North),207021424,37847.0,1.0
74,Doncaster East (South),207021425,36401.0,1.0
75,Blackburn,207031161,41648.0,2.0
76,Box Hill,207031163,37658.0,1.0
77,Caulfield - North,208021177,48581.0,3.0
78,Box Hill North,207031164,41493.0,2.0
79,Burwood,207031165,34743.0,1.0
80,Burwood East,207031166,35353.0,1.0
81,Bentleigh East (North),208021426,43040.0,2.0
82,Beaumaris,208011168,45946.0,3.0
83,Caulfield - South,208021178,46447.0,3.0
84,Brighton (Vic.),208011169,56905.0,3.0
85,Elsternwick,208021179,48479.0,3.0
86,Sandringham - Black Rock,208011173,50185.0,3.0
87,Carrum - Patterson Lakes,208031185,45000.0,2.0
88,Chelsea - Bonbeach,208031186,43605.0,2.0
89,Cheltenham - Highett (East),208031188,41845.0,2.0
90,Mentone,208031190,43752.0,2.0
91,Edithvale - Aspendale,208031189,44290.0,2.0
92,Bundoora - East,209011196,39703.0,2.0
93,Moorabbin - Heatherton,208031191,42376.0,2.0
94,Moorabbin Airport,208031192,,2.0
95,Greensborough,209011197,43810.0,2.0
96,Watsonia,209011204,43222.0,2.0
97,Mordialloc - Parkdale,208031193,44714.0,2.0
98,Kingsbury,209021205,38688.0,1.0
99,Reservoir - East,209021207,37961.0,1.0
100,Reservoir - West,209021208,38177.0,1.0
101,Essendon Airport,210011227,,2.0
102,Malvern - Glen Iris,208041194,52091.0,3.0
103,Preston - West,209021429,41372.0,2.0
104,Malvern East,208041195,47698.0,3.0
105,Eltham,209031209,46312.0,3.0
106,Hurstbridge,209031210,43141.0,2.0
107,Kinglake,209031211,37217.0,1.0
108,Panton Hill - St Andrews,209031212,40511.0,2.0
109,Plenty - Yarrambat,209031213,45818.0,3.0
110,Research - North Warrandyte,209031214,45096.0,2.0
111,Heidelberg - Rosanna,209011198,45367.0,3.0
112,Bundoora - West,209041217,39438.0,1.0
113,Lalor,209041219,35360.0,1.0
114,Heidelberg West,209011199,38069.0,1.0
115,Ivanhoe,209011200,49507.0,3.0
116,Ivanhoe East - Eaglemont,209011201,51758.0,3.0
117,Montmorency - Briar Hill,209011202,45159.0,2.0
118,Viewbank - Yallambie,209011203,44398.0,2.0
119,Preston - East,209021428,38440.0,1.0
120,Wattle Glen - Diamond Creek,209031215,45161.0,2.0
121,Epping - East,209041431,40203.0,2.0
122,Epping - South,209041432,38831.0,1.0
123,Bundoora - North,209041216,40372.0,2.0
124,Epping - West,209041433,44644.0,2.0
125,Mernda,209041434,48038.0,3.0
126,South Morang (North),209041435,46157.0,3.0
127,Mill Park - North,209041220,40619.0,2.0
128,Mill Park - South,209041221,40136.0,2.0
129,Airport West,210011226,43060.0,2.0
130,Thomastown,209041223,35671.0,1.0
131,Wallan,209041224,42570.0,2.0
132,Whittlesea,209041225,39999.0,2.0
133,Doreen,209041430,49335.0,3.0
134,South Morang (South),209041436,43064.0,2.0
135,Wollert,209041437,43421.0,2.0
136,Keilor,210011228,43066.0,2.0
137,Keilor East,210011229,41181.0,2.0
138,Niddrie - Essendon West,210011230,45289.0,3.0
139,Strathmore,210011231,46882.0,3.0
140,Gisborne,210021232,44347.0,2.0
141,Cranbourne,212031300,39374.0,1.0
142,Cranbourne East,212031301,43937.0,2.0
143,Macedon,210021233,43542.0,2.0
144,Riddells Creek,210021234,43545.0,2.0
145,Romsey,210021235,40991.0,2.0
146,Coburg North,210031236,38986.0,1.0
147,Fawkner,210031237,34700.0,1.0
148,Glenroy,210031438,36716.0,1.0
149,Pascoe Vale,210031239,43644.0,2.0
150,Gowanbrae,210031439,48500.0,3.0
151,Broadmeadows,210051242,32189.0,1.0
152,Meadow Heights,210051247,32638.0,1.0
153,Melbourne Airport,210051248,31426.0,1.0
154,Campbellfield - Coolaroo,210051243,31422.0,1.0
155,Gladstone Park - Westmeadows,210051245,41493.0,2.0
156,Greenvale - Bulla,210051246,40892.0,2.0
157,Croydon South,211031452,40868.0,2.0
158,Roxburgh Park - Somerton,210051249,37393.0,1.0
159,Tullamarine,210051250,42842.0,2.0
160,Craigieburn - Central,210051441,40768.0,2.0
161,Craigieburn - North,210051442,44933.0,2.0
162,Craigieburn - West,210051444,44595.0,2.0
163,Mickleham - Yuroke,210051445,41649.0,2.0
164,Bayswater,211011251,40927.0,2.0
165,Knoxfield - Scoresby,211011254,40915.0,2.0
166,Craigieburn - South,210051443,40752.0,2.0
167,Lysterfield,211011255,45458.0,3.0
168,Rowville - North,211011257,44183.0,2.0
169,Rowville - South,211011258,44653.0,2.0
170,Wantirna,211011259,40685.0,2.0
171,Wantirna South,211011260,40061.0,2.0
172,Rowville - Central,211011256,41374.0,2.0
173,Boronia,211011446,40686.0,2.0
174,Ferntree Gully (North),211011447,41155.0,2.0
175,Croydon Hills - Warranwood,211031265,43078.0,2.0
176,Ringwood,211031266,40596.0,2.0
177,Ferntree Gully (South) - Upper Ferntree Gully,211011448,41336.0,2.0
178,Ringwood East,211031267,42352.0,2.0
179,Ringwood North,211031268,43382.0,2.0
180,The Basin,211011449,43148.0,2.0
181,Donvale - Park Orchards,211021261,43382.0,2.0
182,Warrandyte - Wonga Park,211021262,45390.0,3.0
183,Croydon - East,211031450,41263.0,2.0
184,Croydon - West,211031451,39276.0,1.0
185,Bayswater North,211031263,42309.0,2.0
186,Forest Hill,211041269,38366.0,1.0
187,Mitcham (Vic.),211041270,43564.0,2.0
188,Vermont,211041272,41733.0,2.0
189,Vermont South,211041273,39889.0,2.0
190,Nunawading,211041271,41263.0,2.0
191,Belgrave - Selby,211051274,41272.0,2.0
192,Chirnside Park,211051275,40085.0,2.0
193,Healesville - Yarra Glen,211051276,36044.0,1.0
194,Kilsyth,211051277,38966.0,1.0
195,Lilydale - Coldstream,211051278,40320.0,2.0
196,Monbulk - Silvan,211051279,35773.0,1.0
197,Montrose,211051280,41037.0,2.0
198,Mooroolbark,211051281,40601.0,2.0
199,Mount Dandenong - Olinda,211051282,40884.0,2.0
200,Pakenham - North,212011291,41210.0,2.0
201,Mount Evelyn,211051283,40132.0,2.0
202,Endeavour Hills - South,212021454,38946.0,1.0
203,Lynbrook - Lyndhurst,212031306,46036.0,3.0
204,Pearcedale - Tooradin,212031308,39552.0,2.0
205,Upwey - Tecoma,211051284,41412.0,2.0
206,Wandin - Seville,211051285,38187.0,1.0
207,Yarra Valley,211051286,36362.0,1.0
208,Beaconsfield - Officer,212011287,43827.0,2.0
209,Bunyip - Garfield,212011288,37024.0,1.0
210,Emerald - Cockatoo,212011289,40606.0,2.0
211,Koo Wee Rup,212011290,35931.0,1.0
212,Pakenham - South,212011292,41926.0,2.0
213,Berwick - North,212021293,42846.0,2.0
214,Berwick - South,212021294,45170.0,2.0
215,Doveton,212021295,34673.0,1.0
216,Hallam,212021297,38647.0,1.0
217,Narre Warren North,212021299,42661.0,2.0
218,Endeavour Hills - North,212021453,39797.0,2.0
219,Narre Warren - North East,212021455,40810.0,2.0
220,Narre Warren - South West,212021456,39979.0,2.0
221,Cranbourne North,212031302,42468.0,2.0
222,Cranbourne South,212031303,42170.0,2.0
223,Cranbourne West,212031304,41100.0,2.0
224,Hampton Park - Lynbrook,212031305,38749.0,1.0
225,Narre Warren South (East),212031457,43478.0,2.0
226,Narre Warren South (West),212031458,42115.0,2.0
227,Clarinda - Oakleigh South,212041309,39159.0,1.0
228,Clayton South,212041310,35164.0,1.0
229,Dandenong,212041311,33659.0,1.0
230,Dandenong North,212041312,36078.0,1.0
231,Dingley Village,212041313,41534.0,2.0
232,Noble Park - East,212041459,35148.0,1.0
233,Keysborough,212041314,38974.0,1.0
234,Noble Park North,212041316,38321.0,1.0
235,Springvale,212041317,31288.0,1.0
236,Springvale South,212041318,34214.0,1.0
237,Noble Park - West,212041460,34397.0,1.0
238,Ashwood - Chadstone,212051319,40238.0,2.0
239,Clayton,212051320,31334.0,1.0
240,Glen Waverley - East,212051321,37120.0,1.0
241,Glen Waverley - West,212051322,36023.0,1.0
242,Mount Waverley - North,212051323,38204.0,1.0
243,Mount Waverley - South,212051324,38865.0,1.0
244,Mulgrave,212051325,40175.0,2.0
245,Oakleigh - Huntingdale,212051326,40547.0,2.0
246,Wheelers Hill,212051327,40338.0,2.0
247,Ardeer - Albion,213011328,35935.0,1.0
248,Cairnlea,213011329,41989.0,2.0
249,Keilor Downs,213011332,40056.0,2.0
250,Deer Park - Derrimut,213011330,41611.0,2.0
251,Delahey,213011331,40022.0,2.0
252,Kings Park (Vic.),213011333,37309.0,1.0
253,St Albans - North,213011334,34095.0,1.0
254,Altona North,213021343,40503.0,2.0
255,St Albans - South,213011335,34468.0,1.0
256,Sunshine North,213011337,35016.0,1.0
257,Sunshine,213011336,33867.0,1.0
258,Sydenham,213011339,40341.0,2.0
259,Sunshine West,213011338,36656.0,1.0
260,Taylors Lakes,213011340,41488.0,2.0
261,Altona,213021341,43640.0,2.0
262,Altona Meadows,213021342,41884.0,2.0
263,Newport,213021344,51150.0,3.0
264,Seabrook,213021345,44568.0,2.0
265,Williamstown,213021346,51787.0,3.0
266,West Footscray - Tottenham,213031351,41060.0,2.0
267,Braybrook,213031347,36267.0,1.0
268,Footscray,213031348,35892.0,1.0
269,Maribyrnong,213031349,44859.0,2.0
270,Seddon - Kingsville,213031350,49316.0,3.0
271,Yarraville,213031352,51803.0,3.0
272,Bacchus Marsh,213041353,42331.0,2.0
273,Hillside,213041355,44002.0,2.0
274,Melton,213041356,40702.0,2.0
275,Melton South,213041357,40932.0,2.0
276,Melton West,213041358,43406.0,2.0
277,Rockbank - Mount Cottrell,213041359,37747.0,1.0
278,Taylors Hill,213041360,46129.0,3.0
279,Burnside,213041461,42667.0,2.0
280,Hoppers Crossing - South,213051362,41112.0,2.0
281,Burnside Heights,213041462,45939.0,3.0
282,Caroline Springs,213041463,47548.0,3.0
283,Hoppers Crossing - North,213051361,41858.0,2.0
284,Laverton,213051363,37038.0,1.0
285,Tarneit,213051365,45539.0,3.0
286,Truganina,213051366,46055.0,3.0
287,Werribee - South,213051368,41355.0,2.0
288,Wyndham Vale,213051369,45369.0,3.0
289,Point Cook - East,213051464,55149.0,3.0
290,Point Cook - North,213051465,50463.0,3.0
291,Werribee - East,213051467,40270.0,2.0
292,Werribee - West,213051468,43573.0,2.0
293,Carrum Downs,214011370,41446.0,2.0
294,Frankston,214011371,38274.0,1.0
295,Frankston North,214011372,36113.0,1.0
296,Frankston South,214011373,40351.0,2.0
297,Langwarrin,214011374,41660.0,2.0
298,Seaford (Vic.),214011375,40291.0,2.0
299,Skye - Sandhurst,214011376,45518.0,3.0
300,Dromana,214021377,32958.0,1.0
301,Flinders,214021378,37192.0,1.0
302,Hastings - Somers,214021379,37453.0,1.0
303,Mornington,214021380,37809.0,1.0
304,Mount Eliza,214021381,43164.0,2.0
305,Mount Martha,214021382,39321.0,1.0
306,Point Nepean,214021383,31802.0,1.0
307,Rosebud - McCrae,214021384,31093.0,1.0
308,Somerville,214021385,39512.0,1.0
